team,player_name
KKR,Luvnith Sisodia
KKR,Anrich Nortje
KKR,Mayank Markande
KKR,Spencer Johnson
KKR,Shivam Shukla
KKR,Cameron Green
KKR,Finn Allen
KKR,Tejasvi Singh
KKR,Sarthak Ranjan
KKR,Daksh Kamra
KKR,Rachin Ravindra
KKR,Matheesha Pathirana
KKR,Kartik Tyagi
KKR,Prashant Solanki
KKR,Akash Deep
KKR,Umran Malik
LSG,KL Rahul
LSG,Evin Lewis
LSG,Manan Vohra
LSG,Manish Pandey
LSG,Quinton De Kock
LSG,Ayush Badoni
LSG,Deepak Hooda
LSG,Jason Holder
LSG,Krishnappa Gowtham
LSG,Karan Sharma
LSG,Krunal Pandya
LSG,Kyle Mayers
LSG,Marcus Stoinis
LSG,Ankit Rajpoot
LSG,Avesh Khan
LSG,Dushmantha Chameera
LSG,Andrew Tye
LSG,Mayank Yadav
LSG,Mohsin Khan
LSG,Ravi Bishnoi
LSG,Shahbaz Nadeem
LSG,Karun Nair
LSG,Nicholas Pooran
LSG,Romario Shepherd
LSG,Daniel Sams
LSG,Swapnil Singh
LSG,Prerak Mankad
LSG,Suryansh Shedge
LSG,Yudhvir Singh Charak
LSG,Mark Wood
LSG,Jaydev Unadkat
LSG,Yash Thakur
LSG,Amit Mishra
LSG,Arpit Guleria
LSG,Naveen Ul Haq
LSG,Devdutt Padikkal
LSG,Ashton Turner
LSG,Mohd Arshad Khan
LSG,Arshin Kulkarni
LSG,David Willey
LSG,Shivam Mavi
LSG,Shamar Joseph
LSG,Matt Henry
LSG,M Siddharth
LSG,Rishabh Pant
LSG,David Miller
LSG,Aiden Markram
LSG,Aryan Juyal
LSG,Himmat Singh
LSG,Matthew Breetzke
LSG,Mitchell Marsh
LSG,Abdul Samad
LSG,Shahbaz Ahamad
LSG,Yuvraj Chaudhary
LSG,Rajvardhan Hangargekar
LSG,Shardul Thakur
LSG,Akash Deep
LSG,Digvesh Singh
LSG,Akash Singh
LSG,Prince Yadav
LSG,William Orourke
LSG,Mukul Choudhary
LSG,Akshat Raghuwanshi
LSG,Josh Inglis
LSG,Wanindu Hasaranga
LSG,Mohammed Shami
LSG,Arjun Tendulkar
LSG,Anrich Nortje
LSG,Naman Tiwari
MI,Sachin Tendulkar
MI,Yogesh Takawale
MI,Ajinkya Rahane
MI,Ankeet Chavan
